AppId,GenreId
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,5
8,7
9,8
10,9
11,10
12,6
13,11
14,12
15,5
16,0
17,13
18,3
19,0
20,0
21,6
22,14
23,15
24,16
25,1
26,16
27,17
28,18
29,11
30,19
31,9
32,16
33,20
34,21
35,6
36,11
37,6
38,7
39,22
40,1
41,23
42,22
43,24
44,3
45,0
46,3
47,4
48,4
49,25
50,3
51,0
52,3
53,2
54,26
55,0
56,11
57,27
58,27
59,8
60,10
61,5
62,28
63,28
64,3
65,29
66,21
67,2
68,27
69,4
70,16
71,3
72,30
73,6
74,31
75,18
76,2
77,23
78,27
79,32
80,11
81,8
82,10
83,10
84,32
85,2
86,1
87,8
88,11
89,6
90,5
91,2
92,1
93,9
94,26
95,33
96,1
97,20
98,2
99,16
100,21
101,26
102,8
103,26
104,1
105,1
106,26
107,1
108,8
109,27
110,6
111,33
112,3
113,26
114,33
115,25
116,19
117,31
118,0
119,0
120,19
121,26
122,25
123,3
124,6
125,8
126,8
127,2
128,33
129,8
130,17
131,19
132,1
133,8
134,34
135,19
136,26
137,33
138,11
139,3
140,6
141,28
142,21
143,3
144,27
145,32
146,9
147,0
148,16
149,35
150,26
151,8
152,8
153,23
154,14
155,1
156,33
157,6
158,1
159,21
160,4
161,24
162,33
163,10
164,4
165,31
166,1
167,4
168,23
169,23
170,23
171,28
172,3
173,21
174,0
175,28
176,26
177,26
178,31
179,8
180,2
181,1
182,19
183,26
184,2
185,31
186,32
187,34
188,9
189,10
190,26
191,20
192,3
193,1
194,6
195,10
196,1
197,2
198,8
199,26
200,11
201,20
202,31
203,15
204,36
205,3
206,17
207,34
208,16
209,32
210,1
211,1
212,29
213,4
214,1
215,8
216,31
217,11
218,1
219,1
220,6
221,3
222,33
223,27
224,34
225,26
226,11
227,19
228,11
229,25
230,17
231,32
232,33
233,27
234,2
235,7
236,7
237,37
238,11
239,11
240,6
241,16
242,33
243,26
244,16
245,16
246,3
247,4
248,3
249,0
250,16
251,19
252,1
253,15
254,32
255,6
256,18
257,32
258,1
259,16
260,20
261,11
262,37
263,1
264,6
265,16
266,1
267,1
268,1
269,1
270,0
271,0
272,23
273,33
274,36
275,37
276,5
277,24
277,6
278,6
279,33
280,1
281,8
282,7
283,11
284,11
285,15
286,8
287,37
288,31
289,31
290,8
291,7
292,6
293,34
294,11
295,16
296,16
297,16
298,16
299,6
300,16
301,26
302,7
303,3
304,6
305,2
306,3
307,19
308,32
309,19
310,11
311,1
312,4
313,28
314,36
315,19
316,3
317,26
318,15
319,19
320,6
321,3
322,17
323,17
324,37
325,15
326,1
327,15
328,19
329,4
330,10
331,1
332,23
333,33
334,23
335,1
336,26
337,29
338,15
339,33
340,33
341,8
342,23
343,1
344,0
345,23
346,23
347,23
348,1
349,8
350,28
351,38
352,10
353,6
354,31
355,3
356,23
357,6
357,39
358,17
359,36
360,12
361,18
362,21
363,18
364,18
365,18
366,18
367,15
368,21
369,18
370,18
371,20
372,32
373,26
374,18
375,19
376,3
377,10
378,0
379,1
380,28
381,19
382,32
383,23
384,3
385,23
386,1
387,1
388,8
389,26
390,2
391,2
392,3
393,6
393,24
394,1
395,11
396,9
397,8
398,27
399,20
400,17
401,32
402,30
403,18
404,1
405,23
406,1
407,1
408,11
409,32
410,15
411,15
412,23
413,8
414,15
415,15
416,15
417,21
418,34
419,34
420,3
421,6
422,20
423,4
424,40
425,8
426,26
427,37
428,7
429,0
430,4
431,0
431,48
432,0
433,4
434,2
435,4
436,27
437,34
438,34
439,26
440,27
441,28
442,10
443,36
444,36
445,0
446,10
447,29
448,27
449,6
450,0
451,27
452,12
453,0
454,9
455,22
456,9
457,9
458,23
459,33
460,23
461,9
462,22
463,22
464,28
465,8
466,19
467,28
468,0
469,36
470,2
471,21
472,32
473,49
473,41
474,0
475,23
476,8
477,32
478,25
479,0
480,32
481,4
482,23
483,1
484,27
485,27
486,34
487,15
488,0
489,29
490,1
491,0
492,13
493,1
494,1
495,12
496,36
497,14
498,14
499,14
500,14
501,1
502,1
503,30
504,8
505,23
506,7
506,50
507,33
508,6
509,35
510,28
511,49
511,30
512,6
513,3
514,18
515,15
516,22
517,27
518,42
519,43
519,51
520,16
521,6
522,28
523,36
524,36
525,32
526,44
527,44
528,44
529,37
530,44
531,30
532,52
532,30
533,44
534,44
535,44
536,44
537,20
538,30
539,18
540,26
541,34
542,45
543,36
544,36
545,23
546,0
547,21
548,1
549,18
550,26
551,2
552,11
553,27
554,19
555,16
556,26
557,25
558,44
559,22
560,22
561,12
562,7
563,12
564,37
565,31
566,1
567,37
568,6
569,1
570,34
571,26
572,33
573,8
574,1
575,1
576,0
577,4
578,1
579,28
580,8
581,1
582,1
583,1
584,33
585,1
586,8
587,0
588,8
589,49
589,43
590,0
591,40
592,2
593,0
594,8
595,36
596,3
597,39
598,36
599,3
600,3
601,26
602,2
603,27
604,3
605,52
605,30
606,52
606,30
607,27
608,27
609,27
610,1
611,27
612,31
613,41
614,1
615,2
616,8
617,8
618,8
619,20
620,45
621,40
622,49
622,21
623,3
624,0
625,1
626,2
627,40
628,22
629,19
630,32
631,20
632,11
633,19
634,19
635,26
636,36
637,36
638,36
639,3
640,3
641,3
642,3
643,19
644,32
645,1
646,5
647,22
648,8
649,2
650,2
651,8
652,8
653,22
654,22
655,22
656,22
657,22
658,22
659,22
660,22
661,22
662,22
663,22
664,22
665,22
666,22
667,22
668,22
669,22
670,12
671,12
672,23
673,12
674,8
675,8
676,36
677,6
677,39
678,2
679,30
680,9
681,11
682,23
683,7
684,34
685,23
686,41
687,12
688,23
689,23
690,36
691,28
692,23
693,23
694,1
695,26
696,15
697,15
698,18
699,2
700,31
701,11
702,19
703,11
704,23
705,23
706,23
707,23
708,23
709,23
710,23
711,23
712,23
713,23
714,23
715,23
716,23
717,23
718,23
719,23
720,23
721,23
722,23
723,23
724,23
725,34
726,23
727,19
728,10
729,36
730,36
731,36
732,1
733,23
734,0
735,22
736,16
737,0
738,16
739,1
740,33
741,0
742,16
743,42
744,1
745,1
746,11
747,28
748,33
749,16
750,8
751,16
752,41
753,26
754,26
755,2
756,22
757,4
758,4
759,22
760,4
761,0
762,1
763,0
764,8
765,43
766,4
767,1
768,8
769,32
770,1
771,1
772,0
773,39
774,3
775,48
775,0
776,15
777,25
778,4
779,10
780,26
781,36
782,6
783,26
784,32
785,32
786,26
787,34
788,0
789,8
790,24
791,24
792,29
793,1
794,43
795,1
796,1
797,0
798,24
799,0
800,0
801,3
802,1
803,23
804,0
805,3
806,30
807,18
808,21
809,32
810,0
811,4
812,0
813,36
814,32
815,16
816,9
817,16
818,4
819,4
820,4
821,31
822,4
823,4
824,4
825,4
826,34
827,4
828,34
829,50
829,4
830,1
831,4
832,1
833,1
834,4
835,4
836,1
837,8
838,2
839,4
840,1
841,27
842,1
843,8
844,36
845,26
846,33
847,32
848,1
849,2
850,26
851,1
852,39
852,6
853,12
854,21
855,32
856,26
857,3
858,3
859,32
860,0
861,3
862,27
863,27
864,27
865,4
866,19
867,34
868,0
869,41
870,4
871,1
872,1
873,1
874,2
875,4
876,32
877,4
878,2
879,1
880,1
881,26
882,43
883,0
884,3
885,32
886,32
887,25
888,37
889,34
890,32
891,40
892,30
893,7
894,0
895,2
896,23
897,4
898,17
899,17
900,17
901,17
902,17
903,27
904,11
905,39
906,12
907,32
908,1
909,16
910,30
911,1
912,2
913,0
914,28
915,28
916,6
917,6
918,48
918,0
919,0
920,1
921,3
922,27
923,32
924,1
925,1
926,45
927,50
927,5
928,34
929,1
930,2
931,28
932,21
933,33
934,17
935,17
936,6
937,28
938,23
939,28
940,40
941,27
942,33
943,18
944,17
945,45
946,40
947,32
948,15
949,33
950,33
951,38
952,34
953,36
954,35
955,6
956,6
957,20
958,32
959,9
960,32
961,6
962,6
963,6
964,19
965,1
966,19
967,16
968,31
969,19
970,28
971,3
972,27
973,27
974,12
975,27
976,7
977,32
978,2
979,42
980,14
980,50
981,26
982,31
983,1
984,28
985,8
986,8
987,19
988,6
989,19
990,1
991,2
992,27
993,0
994,6
995,15
996,21
997,33
998,19
999,1
1000,19
1001,32
1002,14
1003,2
1004,1
1005,34
1006,33
1007,8
1008,28
1009,33
1010,9
1011,29
1012,3
1013,13
1014,16
1015,0
1016,2
1017,36
1018,11
1019,0
1020,6
1021,6
1022,27
1023,1
1024,32
1025,49
1025,41
1026,1
1027,1
1028,33
1029,1
1030,15
1031,19
1032,1
1033,2
1034,1
1035,0
1036,26
1037,52
1037,43
1038,31
1039,5
1040,31
1041,10
